p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.49041821021504	0.744	0.094	0	0	CBLN2
0	2.24743825928268	0.766	0.196	0	0	AC011287.1
0	2.0650503358152	0.86	0.23	0	0	FAM19A1
0	2.02479136146495	0.741	0.14	0	0	CUX2
0	1.97771741724296	0.937	0.458	0	0	HS6ST3
0	1.8804273238922	0.856	0.431	0	0	DGKB
0	1.84065966502066	0.791	0.389	0	0	HOMER1
0	1.80941916644401	0.477	0.06	0	0	AJ009632.2
0	1.67579403202798	0.889	0.312	0	0	RGS6
0	1.57418992828473	0.973	0.578	0	0	IQCJ-SCHIP1
0	1.5586564000849	0.97	0.601	0	0	STXBP5L
0	1.55479807987644	0.552	0.109	0	0	LINC01378
0	1.54521591523571	0.875	0.476	0	0	SYN3
0	1.5345606553004	0.951	0.639	0	0	LRRTM4
0	1.52875572306925	0.993	0.671	0	0	KCNIP4
0	1.52814580066005	0.906	0.441	0	0	SORBS2
0	1.51724065678971	0.657	0.11	0	0	SLIT3
0	1.51629592119522	0.908	0.388	0	0	LDB2
0	1.51313039779643	0.77	0.278	0	0	LINC01250
0	1.51222848845154	0.833	0.25	0	0	KIAA1211L
0	1.46832143375806	0.67	0.152	0	0	ENC1
0	1.44956267835327	0.818	0.326	0	0	CACNG3
0	1.44953741878607	0.688	0.182	0	0	AL117329.1
0	1.43069056325078	0.862	0.546	0	0	PDZD2
0	1.42449139885714	0.985	0.541	0	0	DLGAP2
0	1.40250832938526	0.726	0.291	0	0	RTN4RL1
0	1.38441092797181	0.696	0.139	0	0	CDH22
0	1.36716037249204	0.83	0.344	0	0	CABP1
0	1.3342888854914	0.939	0.43	0	0	RALYL
0	1.29885485556403	0.867	0.464	0	0	CDH18
0	1.28923682919835	0.895	0.46	0	0	CNKSR2
0	1.26732221783777	0.883	0.47	0	0	KCTD16
0	1.26624076864138	0.818	0.361	0	0	ST6GALNAC5
0	1.26437832489418	0.944	0.652	0	0	R3HDM1
0	1.26230531812241	0.985	0.729	0	0	CELF2
0	1.26192234272112	0.729	0.192	0	0	MLIP
0	1.24397576829535	0.979	0.667	0	0	RGS7
0	1.2302213152977	0.759	0.301	0	0	NECAB1
0	1.21105243801189	0.822	0.247	0	0	SV2B
0	1.20465909068918	0.809	0.376	0	0	FAT3
0	1.19338030255142	0.876	0.384	0	0	NELL2
0	1.19238538493734	0.721	0.259	0	0	MIR137HG
0	1.19020182943635	0.927	0.502	0	0	CACNA2D3
0	1.18902947200293	0.745	0.344	0	0	CDH12
0	1.18712279336663	0.868	0.473	0	0	PPP2R2C
0	1.1851563261083	0.673	0.217	0	0	AC007563.2
